PROCSFUNCT|STRNUM|INUMBR|ITEMNO|IDESCR|ISTYLN|SNUMBR|GGSKU|IDEPT|ISDEPT|ICLAS|ISCLAS|DEPTNM|SDEPTNM|CLASNM|SCLASNM|MCHNUM|ASNUM|IVNDPN|IUPC|DSPNCD|ISTYPE|GIFTCARD|PHYGCCNTRY|IMFGR|ILCOD|ICUCST|ORIGN|REGPRC|SALPRC|OFFTXT|CA_ORIGN|CA_REGPRC|CA_SALPRC|CA_OFFTXT|BTCCOD|AVLFS|ONORD|SKUSDTW|SKUEDTW|SSNSDTW|SSNEDTW|SSTYLE|IDLGTH|IDWDTH|IDHGHT|IWGHT|IUCOD|SKUORG|SKUORGDES|ECCN|BUYFLAG|ADDTOCART|SALEFLAG|CLEARFLAG|PUBFLAG|BOFLAG|NEWFLAG|NEWARVLFLG|DROPSHPFLG|PRESALEFLG|SOLOSALE|RTLONHAND|RTLONLYFLG|HLDCOD|NAVIGATE|LIVEFLAG|FLAG1|FLAG2|FLAG3|FLAG4|FLAG5|FLAG6|BUYMSG|DUTY|WEBID|IMLAB1|IMLAB2|CA_BUYFLG|CA_SALEFLG|CA_CLRFLG|CA_PUBFLG|CA_BUYMSG|CA_FLAG1|CA_FLAG2|CA_FLAG3|CA_FLAG4|CA_FLAG5|CA_FLAG6|TRNSDT
C|701|2513845|86127203|TG REAL GIRLS HUNT|6884954|2513843||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4954|703498495463|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|18||20180506|99999999|||TG REAL GIRLS HUNT|8.0|6.0|1.0|2.000|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111256|CELADON|3T|Y|N|N|Y|F|||||||
C|701|2513846|86127204|TG REAL GIRLS HUNT|6884954|2513843||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4954|703498495470|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|16||20180506|99999999|||TG REAL GIRLS HUNT|8.0|5.0|1.0|2.000|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111256|CELADON|4T|Y|N|N|Y|F|||||||
C|701|2513850|86127302|TG WILD & FREE|6884955|2513849||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4955|703498495555|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|34||20180506|99999999|||TG WILD & FREE|7.0|4.3|1.0|2.100|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111277|HOT PINK|2T|Y|N|N|Y|F|||||||
C|701|2513856|86127402|TG HUNTIN GIRL|6884956|2513855||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4956|703498495654|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|24||20180506|99999999|||TG HUNTIN GIRL|8.0|5.0|1.0|2.000|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111289|NAVY|2T|Y|N|N|Y|F|||||||
C|701|2513857|86127403|TG HUNTIN GIRL|6884956|2513855||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4956|703498495661|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|12||20180429|99999999|||TG HUNTIN GIRL|8.0|5.0|1.0|2.000|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111289|NAVY|3T|Y|N|N|Y|F|||||||
C|701|2513858|86127404|TG HUNTIN GIRL|6884956|2513855||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4956|703498495678|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|12||20180429|99999999|||TG HUNTIN GIRL|8.0|5.0|1.0|2.000|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111289|NAVY|4T|Y|N|N|Y|F|||||||
C|701|2513886|86127500|YB BIG POPPA BASS|6884957|2513885||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4957|703498495715|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|11||20180429|99999999|||YB BIG POPPA BASS|7.8|5.0|1.0|2.500|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111381|MOSS|XS|Y|N|N|Y|F|||||||
C|701|2513887|86127501|YB BIG POPPA BASS|6884957|2513885||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4957|703498495722|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|24||20180429|99999999|||YB BIG POPPA BASS|8.0|5.0|1.0|3.200|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111381|MOSS|S|Y|N|N|Y|F|||||||
C|701|2513888|86127502|YB BIG POPPA BASS|6884957|2513885||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4957|703498495739|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|18||20180429|99999999|||YB BIG POPPA BASS|9.0|5.5|1.0|3.600|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111381|MOSS|M|Y|N|N|Y|F|||||||
C|701|2513889|86127503|YB BIG POPPA BASS|6884957|2513885||675|688|10|3|CHILDREN'S CLOTHING|TEES|SHORTSLEEVE|HUMOR|CL3|207159|4957|703498495746|A|01||||B|4.750|12.990|12.990|12.990||16.990|16.990|16.990||BTC0601|18||20180429|99999999|||YB BIG POPPA BASS|8.5|5.3|1.5|4.300|G|HN|HONDURAS|EAR99|Y|Y|N|N|Y|N|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|6.50000|100111381|MOSS|L|Y|N|N|Y|F|||||||
